上海,#genre#
博斯魅力,rtmp://59.124.75.156/sat/md011
博斯運動I,rtmp://59.124.75.156/sat/md021
ELTA體育1台,rtmp://59.124.75.156/sat/md031
ELTA體育3台,rtmp://59.124.75.156/sat/md041
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live,http://seb.sason.top/sc/sllive_fhd.m3u8
民視新聞,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8
原住民電視,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大愛一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛海外台,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
好消息1台,https://dqhxk7sbp7xog.cloudfront.net/osmflivech1.m3u8#https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8#http://live.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息2台,https://dqhxk7sbp7xog.cloudfront.net/osmflivech2.m3u8#https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8#http://live.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
希望電視,https://hcchinese.mmdlive.lldns.net/hcchinese/f3e5d4599ea94a56b2ab70d787c02cea/manifest.m3u8
華藏衛視,https://5fbd5b4f0d47e.streamlock.net/hwazanlivetv/live.stream/playlist.m3u8
佛衛慈悲台,https://btsu4k5-hisng.cdn.hinet.net/live/pool/btsLive2/hievent-hls/btsLive2.m3u8
上德電視,http://flv.ccdntech.com/live/_definst_/mp4:vod150_Live/live/playlist.m3u8
唯心衛視,https://5ddce30eb4b55.streamlock.net/wxtv/wxtv_now.stream/chunklist_w950731714.m3u8

✈日韩,#genre#
日テレNEWS24,https://n24-cdn-live.ntv.co.jp/ch01/High.m3u8
ウェザーニュース,http://movie.mcas.jp/mcas/wn1_2/master.m3u8
CGNTV,http://cgntv-glive.ofsdelivery.net/live/_definst_/cgntv_jp/playlist.m3u8
NHK华语视界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
NHK World Japan,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/2003458/live.m3u8
NHK-E,http://redlabmcdn.s.llnwi.net/jp01/ryowa1/index.m3u8
NHK-G,http://203.162.235.41:16903#http://redlabmcdn.s.llnwi.net/jp01/ryowa2/index.m3u8
フジテレビ,http://203.162.235.41:16904#http://redlabmcdn.s.llnwi.net/jp01/ryowa7/index.m3u8
日テレ,http://203.162.235.41:16905#http://redlabmcdn.s.llnwi.net/jp01/ryowa3/index.m3u8
テレビ朝日,http://203.162.235.41:16906#http://redlabmcdn.s.llnwi.net/jp01/ryowa4/index.m3u8
TBS,http://203.162.235.41:16907#http://redlabmcdn.s.llnwi.net/jp01/ryowa5/index.m3u8
テレビ東京,http://203.162.235.41:16908#http://redlabmcdn.s.llnwi.net/jp01/ryowa6/index.m3u8
